Zeitstempel: 2020-09-05T17:05:54.965  ///  Zu vergleichendes Bild: Rad10
Distanz zwischen Rad10 und Rad06 => 1357.7916717327819
Distanz zwischen Rad10 und Rad07 => 72.28547970319573
Distanz zwischen Rad10 und Rad07_bw => 537.3087090676074
Distanz zwischen Rad10 und Rad07_mir => 71.49310729939697
Distanz zwischen Rad10 und Rad07_rot => 594.3523360821597
Distanz zwischen Rad10 und Rad08 => 439.7750458005646
Distanz zwischen Rad10 und Rad08_bw => 380.0517862011348
Distanz zwischen Rad10 und Rad08_mir => 440.11010108560305
Distanz zwischen Rad10 und Rad08_rot => 741.6094604563465
Distanz zwischen Rad10 und Rad09 => 674.6436400689632
Distanz zwischen Rad10 und Rad09_bw => 673.5829958589512
Distanz zwischen Rad10 und Rad09_mir => 674.6527517944318
Distanz zwischen Rad10 und Rad09_rot => 367.175487198354
Distanz zwischen Rad10 und Rad10 => 0.0
Distanz zwischen Rad10 und Rad10_bw => 261.8045428111362
Distanz zwischen Rad10 und Rad10_mir => 1.5315723765345461
Distanz zwischen Rad10 und Rad10_rot => 702.3969375644391
Distanz zwischen Rad10 und Schaf01 => 399.5996244328544
Distanz zwischen Rad10 und Schaf01_bw => 184.8590315570439
Distanz zwischen Rad10 und Schaf01_mir => 399.65933178553513
Distanz zwischen Rad10 und Schaf01_rot => 775.6123386444447
Distanz zwischen Rad10 und Schaf02 => 26.1424482455616
Distanz zwischen Rad10 und Schaf03 => 183.3509404349957
Distanz zwischen Rad10 und Schaf03_bw => 244.03539130032397
Distanz zwischen Rad10 und Schaf03_mir => 183.26000633575427
Distanz zwischen Rad10 und Schaf03_rot => 345.83664855589825
Distanz zwischen Rad10 und Schaf04 => 931.8370672993773
Distanz zwischen Rad10 und Schaf04_bw => 981.0536487095234
Distanz zwischen Rad10 und Schaf04_mir => 934.4741832538018
Distanz zwischen Rad10 und Schaf04_rot => 754.6609702509261
Distanz zwischen Rad10 und Schaf06 => 1387.0846734462973
Distanz zwischen Rad10 und Schaf06_bw => 1284.6465565821434
Distanz zwischen Rad10 und Schaf06_mir => 1387.0941034042355
Distanz zwischen Rad10 und Schaf06_rot => 1135.3590577103573
Distanz zwischen Rad10 und Schaf07 => 165.21496516336992
Distanz zwischen Rad10 und Schaf07_bw => 216.05790859392545
Distanz zwischen Rad10 und Schaf07_mir => 165.34505766953947
Distanz zwischen Rad10 und Schaf07_rot => 264.690264706323
Distanz zwischen Rad10 und Schaf10 => 713.3704612204646
Distanz zwischen Rad10 und Schaf10_bw => 1004.8795454942702
