Zeitstempel: 2020-09-23T01:01:52.116  ///  Zu vergleichendes Bild: Schaf03
Distanz zwischen Schaf03 und Schaf07_mir => 101697.9456
Distanz zwischen Schaf03 und Schaf07_rot => 97471.696896
Distanz zwischen Schaf03 und Schaf10 => 136643.23583999998
Distanz zwischen Schaf03 und Schaf10_bw => 133697.323008
Distanz zwischen Schaf03 und Schaf10_mir => 136643.23583999998
Distanz zwischen Schaf03 und Schaf10_rot => 126204.424192
___________________________________________________________________________________


Execution Time: 387 s
Score (Image): 1

Score (Schwarz-wei�): 0
Score (Rotiert 90 Grad): 0
Score (Gespiegelt): 0
___________________________________________________________________________________

Performance: 

Für Auto01.png: 
Berechnungszeit KPs: 771
Berechnungszeit Cluster: 8855
Berechnungszeit Distanz: 72
Gesamt:  9698 ms

Für Auto01_bw.png: 
Berechnungszeit KPs: 525
Berechnungszeit Cluster: 7599
Berechnungszeit Distanz: 18
Gesamt:  8142 ms

Für Auto01_mir.png: 
Berechnungszeit KPs: 503
Berechnungszeit Cluster: 10907
Berechnungszeit Distanz: 17
Gesamt:  11427 ms

Für Auto01_rot.png: 
Berechnungszeit KPs: 495
Berechnungszeit Cluster: 5958
Berechnungszeit Distanz: 13
Gesamt:  6466 ms

Für Auto02.png: 
Berechnungszeit KPs: 472
Berechnungszeit Cluster: 5763
Berechnungszeit Distanz: 13
Gesamt:  6248 ms

Für Auto02_bw.png: 
Berechnungszeit KPs: 476
Berechnungszeit Cluster: 7130
Berechnungszeit Distanz: 13
Gesamt:  7619 ms

Für Auto02_mir.png: 
Berechnungszeit KPs: 484
Berechnungszeit Cluster: 6166
Berechnungszeit Distanz: 14
Gesamt:  6664 ms

Für Auto02_rot.png: 
Berechnungszeit KPs: 461
Berechnungszeit Cluster: 4242
Berechnungszeit Distanz: 8
Gesamt:  4711 ms

Für Auto03.png: 
Berechnungszeit KPs: 313
Berechnungszeit Cluster: 852
Berechnungszeit Distanz: 8
Gesamt:  1173 ms

Für Auto03_bw.png: 
Berechnungszeit KPs: 415
