Zeitstempel: 2020-09-23T08:21:13.828  ///  Zu vergleichendes Bild: Auto03
Distanz zwischen Auto03 und Rad10_bw => 130752.995328
Distanz zwischen Auto03 und Rad10_mir => 132542.976
Distanz zwischen Auto03 und Rad10_rot => 121215.107072
Distanz zwischen Auto03 und Schaf01 => 155707.61318400002
Distanz zwischen Auto03 und Schaf01_bw => 154620.78054399998
Distanz zwischen Auto03 und Schaf01_mir => 156091.94496
Distanz zwischen Auto03 und Schaf01_rot => 134013.444096
Distanz zwischen Auto03 und Schaf02 => 99457.59744
Distanz zwischen Auto03 und Schaf03 => 93313.175552
Distanz zwischen Auto03 und Schaf03_bw => 93310.201856
Distanz zwischen Auto03 und Schaf03_mir => 93313.175552
Distanz zwischen Auto03 und Schaf03_rot => 93313.200128
Distanz zwischen Auto03 und Schaf04 => 93312.73728
Distanz zwischen Auto03 und Schaf04_bw => 93312.352256
Distanz zwischen Auto03 und Schaf04_mir => 93312.73728
Distanz zwischen Auto03 und Schaf04_rot => 93310.763008
Distanz zwischen Auto03 und Schaf06 => 96640.49152
Distanz zwischen Auto03 und Schaf06_bw => 93954.629632
Distanz zwischen Auto03 und Schaf06_mir => 96640.49152
Distanz zwischen Auto03 und Schaf06_rot => 93442.41664
Distanz zwischen Auto03 und Schaf07 => 101696.995328
Distanz zwischen Auto03 und Schaf07_bw => 99457.59744
Distanz zwischen Auto03 und Schaf07_mir => 101696.995328
Distanz zwischen Auto03 und Schaf07_rot => 97471.115264
Distanz zwischen Auto03 und Schaf10 => 136636.7232
Distanz zwischen Auto03 und Schaf10_bw => 133693.11232000001
Distanz zwischen Auto03 und Schaf10_mir => 136636.7232
Distanz zwischen Auto03 und Schaf10_rot => 126205.108224
___________________________________________________________________________________


Execution Time: 413 s
Score (Image): 1

Score (Schwarz-wei�): 0
Score (Rotiert 90 Grad): 0
Score (Gespiegelt): 0
___________________________________________________________________________________

Performance: 

Für Auto01.png: 
Berechnungszeit KPs: 322
Berechnungszeit Cluster: 4058
Berechnungszeit Distanz: 51
Gesamt:  4431 ms

Für Auto01_bw.png: 
Berechnungszeit KPs: 443
Berechnungszeit Cluster: 3879
Berechnungszeit Distanz: 16
Gesamt:  4338 ms

Für Auto01_mir.png: 
Berechnungszeit KPs: 410
Berechnungszeit Cluster: 3743
Berechnungszeit Distanz: 15
Gesamt:  4168 ms

Für Auto01_rot.png: 
Berechnungszeit KPs: 291
Berechnungszeit Cluster: 4455
Berechnungszeit Distanz: 16
Gesamt:  4762 ms

Für Auto02.png: 
Berechnungszeit KPs: 304
Berechnungszeit Cluster: 2946
Berechnungszeit Distanz: 3
Gesamt:  3253 ms

Für Auto02_bw.png: 
Berechnungszeit KPs: 281
Berechnungszeit Cluster: 3065
Berechnungszeit Distanz: 16
Gesamt:  3362 ms

Für Auto02_mir.png: 
Berechnungszeit KPs: 293
Berechnungszeit Cluster: 2720
Berechnungszeit Distanz: 0
Gesamt:  3013 ms

Für Auto02_rot.png: 
Berechnungszeit KPs: 271
Berechnungszeit Cluster: 2002
Berechnungszeit Distanz: 16
Gesamt:  2289 ms

Für Auto03.png: 
Berechnungszeit KPs: 201
Berechnungszeit Cluster: 725
Berechnungszeit Distanz: 0
Gesamt:  926 ms

Für Auto03_bw.png: 
Berechnungszeit KPs: 181
Berechnungszeit Cluster: 719
Berechnungszeit Distanz: 15
Gesamt:  915 ms

Für Auto03_mir.png: 
Berechnungszeit KPs: 199
Berechnungszeit Cluster: 714
Berechnungszeit Distanz: 0
Gesamt:  913 ms

Für Auto03_rot.png: 
Berechnungszeit KPs: 193
Berechnungszeit Cluster: 594
Berechnungszeit Distanz: 0
Gesamt:  787 ms

Für Auto04.png: 
Berechnungszeit KPs: 251
Berechnungszeit Cluster: 1352
Berechnungszeit Distanz: 16
Gesamt:  1619 ms

Für Auto04_bw.png: 
Berechnungszeit KPs: 292
Berechnungszeit Cluster: 1359
Berechnungszeit Distanz: 0
Gesamt:  1651 ms

Für Auto04_mir.png: 
Berechnungszeit KPs: 352
Berechnungszeit Cluster: 1510
Berechnungszeit Distanz: 0
Gesamt:  1862 ms

Für Auto04_rot.png: 
Berechnungszeit KPs: 433
Berechnungszeit Cluster: 959
Berechnungszeit Distanz: 15
Gesamt:  1407 ms

Für Auto05.png: 
Berechnungszeit KPs: 382
Berechnungszeit Cluster: 3004
Berechnungszeit Distanz: 0
Gesamt:  3386 ms

Für Auto05_bw.png: 
Berechnungszeit KPs: 403
Berechnungszeit Cluster: 3163
Berechnungszeit Distanz: 16
Gesamt:  3582 ms

Für Auto05_mir.png: 
Berechnungszeit KPs: 388
Berechnungszeit Cluster: 2889
Berechnungszeit Distanz: 7
Gesamt:  3284 ms

Für Auto05_rot.png: 
Berechnungszeit KPs: 337
Berechnungszeit Cluster: 2515
Berechnungszeit Distanz: 0
Gesamt:  2852 ms

Für Auto06.png: 
Berechnungszeit KPs: 351
Berechnungszeit Cluster: 2818
Berechnungszeit Distanz: 0
Gesamt:  3169 ms

Für Auto06_bw.png: 
Berechnungszeit KPs: 376
Berechnungszeit Cluster: 2940
Berechnungszeit Distanz: 15
Gesamt:  3331 ms

Für Auto06_mir.png: 
Berechnungszeit KPs: 331
Berechnungszeit Cluster: 2980
Berechnungszeit Distanz: 0
Gesamt:  3311 ms

Für Auto06_rot.png: 
Berechnungszeit KPs: 292
Berechnungszeit Cluster: 2563
Berechnungszeit Distanz: 16
Gesamt:  2871 ms

Für Auto07.png: 
Berechnungszeit KPs: 281
Berechnungszeit Cluster: 1800
Berechnungszeit Distanz: 0
Gesamt:  2081 ms

Für Auto08.png: 
Berechnungszeit KPs: 273
Berechnungszeit Cluster: 1592
Berechnungszeit Distanz: 15
Gesamt:  1880 ms

Für Auto08_bw.png: 
Berechnungszeit KPs: 252
Berechnungszeit Cluster: 1539
Berechnungszeit Distanz: 0
Gesamt:  1791 ms

Für Auto08_mir.png: 
Berechnungszeit KPs: 261
Berechnungszeit Cluster: 1570
