Zeitstempel: 2020-09-05T17:52:55.968  ///  Zu vergleichendes Bild: Schaf03
Berechnungszeit Cluster: 649
Berechnungszeit Distanz: 11865
Gesamt:  12758 ms

Für Bike05_rot.png: 
Berechnungszeit KPs: 223
Berechnungszeit Cluster: 330
Berechnungszeit Distanz: 14500
Gesamt:  15053 ms

Für Bike06.png: 
Berechnungszeit KPs: 238
Berechnungszeit Cluster: 300
Berechnungszeit Distanz: 1545
Gesamt:  2083 ms

Für Bike06_bw.png: 
Berechnungszeit KPs: 308
Berechnungszeit Cluster: 635
Berechnungszeit Distanz: 1503
Gesamt:  2446 ms

Für Bike06_mir.png: 
Berechnungszeit KPs: 294
Berechnungszeit Cluster: 311
Berechnungszeit Distanz: 1523
Gesamt:  2128 ms

Für Bike06_rot.png: 
Berechnungszeit KPs: 192
Berechnungszeit Cluster: 246
Berechnungszeit Distanz: 1648
Gesamt:  2086 ms

Für Bike07.png: 
Berechnungszeit KPs: 222
Berechnungszeit Cluster: 347
Berechnungszeit Distanz: 1688
Gesamt:  2257 ms

Für Bike07_bw.png: 
Berechnungszeit KPs: 213
Berechnungszeit Cluster: 342
Berechnungszeit Distanz: 1763
Gesamt:  2318 ms

Für Bike07_mir.png: 
Berechnungszeit KPs: 217
Berechnungszeit Cluster: 353
Berechnungszeit Distanz: 1690
Gesamt:  2260 ms

Für Bike07_rot.png: 
Berechnungszeit KPs: 208
Berechnungszeit Cluster: 274
Berechnungszeit Distanz: 920
Gesamt:  1402 ms

Für Bike08.png: 
Berechnungszeit KPs: 302
Berechnungszeit Cluster: 1167
Berechnungszeit Distanz: 30113
Gesamt:  31582 ms

Für Bike08_bw.png: 
Berechnungszeit KPs: 296
Berechnungszeit Cluster: 1459
Berechnungszeit Distanz: 22600
Gesamt:  24355 ms

Für Bike08_mir.png: 
Berechnungszeit KPs: 272
Berechnungszeit Cluster: 618
Berechnungszeit Distanz: 15199
Gesamt:  16089 ms

Für Bike08_rot.png: 
Berechnungszeit KPs: 267
Berechnungszeit Cluster: 603
Berechnungszeit Distanz: 21512
Gesamt:  22382 ms

Für Bike09.png: 
Berechnungszeit KPs: 178
Berechnungszeit Cluster: 357
Berechnungszeit Distanz: 3481
Gesamt:  4016 ms

Für Bike09_bw.png: 
Berechnungszeit KPs: 180
Berechnungszeit Cluster: 696
Berechnungszeit Distanz: 1599
Gesamt:  2475 ms

Für Bike09_mir.png: 
Berechnungszeit KPs: 173
Berechnungszeit Cluster: 367
Berechnungszeit Distanz: 4993
Gesamt:  5533 ms

Für Bike09_rot.png: 
Berechnungszeit KPs: 165
Berechnungszeit Cluster: 246
Berechnungszeit Distanz: 1822
Gesamt:  2233 ms

Für Bike10.png: 
Berechnungszeit KPs: 261
Berechnungszeit Cluster: 633
Berechnungszeit Distanz: 18349
